Instituição;Secretaria;Tipo;Placa;Marca/Modelo;Ano Fabricação;Ano Modelo;Cor;Observações
FMS;SMS;Proprio;QKO0584;YAMAHA/XTS 150;2.014;2.015;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QKN8238;VW/FOX CONNECT MB;2.018;2.019;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QMB0387;L200/TRITON;2.017;2.018;BRANCA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;QKW0336;L200/TRITON;2.015;2.016;BRANCA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;NVL1956;FORD RANGER;2.011;2.011;BRANCA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;OMD3843;VW AMAROK ;2.018;2.018;PRATA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;QKX6422;FIAT/TORO FREEDOM;2.016;2.017;BRANCA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;OEK2107;FIAT/UNO MILLE ECONOMY;2.012;2.013;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;OES4381;FIAT/DOBLO ;2.014;2.014;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;OER9331;FORD/FIESTA;2.014;2.014;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QKN8238;VW/FOX CONNECT;2.018;2.019;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QKX5056;RENOULT CLIO;2.016;2.016;BRANCA;
FMS;SMS;Proprio;QKX5054;RENAULT CLIO;2.016;2.016;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QKN8558;VW/FOX CONNECT ;2.018;2.019;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;IAK0122;VW/KOMBI;2.010;2.010;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;IAP8961;VW/KOMBI LOTAÇÃO;2.010;2.010;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;IAO4632;SPRINTER;2.009;2.010;BRANCA;COMBUSTÍVEL DIESEL  
FMS;SMS;Proprio;IAP9121;UNO MILLE;2.010;2.010;BRANCA;ÁLCOOL/GASOLINA
FMS;SMS;Proprio;QKP3994;JINBEI SHINERAY PVAN;2.013;2.014;BRANCA;GASOLINA
FMS;SMS;Proprio;HZX4627;AGRALE/6000;2.005;2.006;BRANCA;COMBUSTÍVEL DIESEL  
FMAS;SEDEST;Proprio;IAF1818;VW/KOMBI LOTAÇÃO;2.007;2.008;BRANCA;
FMAS;SEDEST;Proprio;QMA1855;L200 TRITON;2.017;2.018;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;QKR8734;FIAT/DOBLO;2.015;2.015;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;IAF9158;VW/KOMBI LOTAÇÃO;2.007;2.008;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;OEJ9105;FIAT/DODLO;2.012;2.012;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;IAO1507;FIAT/UNO. MILE;2.009;2.010;BRANCA;
FMAS;SEDEST;Proprio;QKY4646;FIAT/DOBLO;2.016;2.017;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;QKY5196;FIAT/DOBLO;2.016;2.017;BRANCA;ÁLCOOL/GASOLINA
FMAS;SEDEST;Proprio;QKR7101;MARCOPOLO/VOLARE TCA;2.015;2.015;BRANCA;COMBUSTÍVEL DIESEL  
FMAS;SEDEST;Proprio;IAG9548;MAHINDRA ;2.009;2.009;CINZA;COMBUSTÍVEL DIESEL  
FMAS;SEDEST;Proprio;QMD0955;CITROEN AIRCROSS 1.6 START;2.018;2.019;BRANCA;
FMAS;SEDEST;Proprio;IAE5760;TOYOTA HILUX 30 D;2.006;2.007;PRATA;COMBUSTÍVEL DIESEL  
FMAS;SEDEST;Proprio;IAA9259;FIAT UNO MILE FIRE;2.006;2.006;BRANCA;
