1;
2;PIPA
3;DIESEL
4;"COMBUST?VEL DIESEL  "
5;ALCOOL/GASOLINA
6;"COMBUST?VEL DIESEL  ONIBUS ESCOLAR "
7;"COMBUST?VEL DIESEL  ?NIBUS ESCOLAR "
8;"COMBUST?VEL DIESEL  ACESSIBILIDADE "
9;"CAMINHONETA DIESEL "
10;"COMBUST?VEL ALCO/GASOL "
11;"VE?CULO A DISPOSI??O DA APAE "
12;?LCOOL/GASOLINA
13;GASOLINA
